"date","request","grant"
2020-06-05,5900,4700
2020-06-09,2500,1000
2020-06-19,477400,234000
2020-06-24,193900,79200
2020-06-29,548700,308500
2020-07-10,425600,137900
2020-07-23,585200,260800
2020-08-18,598500,294900
2020-08-28,1709100,1005400
2020-09-03,7817700,2584000
2020-09-10,4006400,2342600
2020-09-17,708300,263800
2020-09-22,3482300,1529000
2020-09-29,4262400,1234900
2020-10-08,5220000,3507300
2020-10-15,2408600,1479100
2020-10-21,1072300,315400
2020-10-28,12604600,4270700
2020-11-04,7442600,4669400
2020-11-12,10238600,7088000
2020-11-17,7954400,4592700
2020-11-26,13626400,3936900
2020-12-03,11209200,4212800
2020-12-09,6644900,3182900
2020-12-15,10910900,4897700
2020-12-23,18198700,7791500
2021-01-14,578400,235400
2021-02-19,129100,0
